"PAÍS","CIUDAD","INSCRITOS RE-ELECCIÓN","INSCRITOS ELECCIÓN NACIONAL","DIFERENCIA INSCRITOS","DIFERENCIA INSCRITOS %","EMITIDOS RE-ELECCIÓN","EMITIDOS ELECCIÓN NACIONAL","DIFERENCIA EMITIDOS","DIFERENCIA EMITIDOS %","VÁLIDOS RE-ELECCIÓN","VÁLIDOS ELECCIÓN NACIONAL","DIFERENCIA VÁLIDOS","DIFERENCIA VÁLIDOS %","EVO RE-ELECCIÓN","EVO ELECCIÓN NACIONAL","DIFERENCIA EVO","DIFERENCIA EVO % EN VOTOS","EVO RE-ELECCIÓN %","EVO ELECCIÓN NACIONAL %","DIFERENCIA EVO % EN PORCENTAJES"
"ALEMANIA","BERLIN",116,86,30,25.86,66,69,-3,-4.55,66,68,-2,-3.03,22,35,-13,-59.09,33.33,51.47,-18.14
"ARGENTINA","BUENOS AIRES",93322,99366,-6044,-6.48,22114,58727,-36613,-165.56,21548,56246,-34698,-161.03,17457,51691,-34234,-196.1,81.01,91.9,-10.89
"ARGENTINA","COMODORO RIVADAVIA",537,NA,537,NA,360,NA,360,NA,324,NA,324,NA,286,NA,286,NA,88.27,NA,88.27
"ARGENTINA","CORDOBA",3015,2830,185,6.14,924,2029,-1105,-119.59,896,1923,-1027,-114.62,694,1703,-1009,-145.39,77.46,88.56,-11.1
"ARGENTINA","JUJUY",6246,5793,453,7.25,2604,3446,-842,-32.33,2409,3145,-736,-30.55,2191,3006,-815,-37.2,90.95,95.58,-4.63
"ARGENTINA","LA QUIACA",427,334,93,21.78,312,293,19,6.09,290,256,34,11.72,231,226,5,2.16,79.66,88.28,-8.62
"ARGENTINA","MENDOZA",8751,9020,-269,-3.07,2048,5594,-3546,-173.14,1938,5316,-3378,-174.3,1641,5069,-3428,-208.9,84.67,95.35,-10.68
"ARGENTINA","ORAN",608,518,90,14.8,281,463,-182,-64.77,266,436,-170,-63.91,225,395,-170,-75.56,84.59,90.6,-6.00999999999999
"ARGENTINA","POCITOS",235,240,-5,-2.13,105,221,-116,-110.48,97,190,-93,-95.88,75,165,-90,-120,77.32,86.84,-9.52000000000001
"ARGENTINA","ROSARIO",764,749,15,1.96,179,389,-210,-117.32,173,370,-197,-113.87,148,343,-195,-131.76,85.55,92.7,-7.15000000000001
"ARGENTINA","SALTA",2129,2077,52,2.44,775,1716,-941,-121.42,736,1602,-866,-117.66,609,1488,-879,-144.33,82.74,92.88,-10.14
"ARGENTINA","VIEDMA",534,340,194,36.33,154,172,-18,-11.69,151,167,-16,-10.6,143,165,-22,-15.38,94.7,98.8,-4.09999999999999
"AUSTRIA","VIENNA",61,43,18,29.51,35,34,1,2.86,35,34,1,2.86,17,23,-6,-35.29,48.57,67.65,-19.08
"BELGICA","BRUSELAS",156,121,35,22.44,91,91,0,0,89,89,0,0,13,27,-14,-107.69,14.61,30.34,-15.73
"BRASIL","BRASILEA",27,20,7,25.93,22,19,3,13.64,21,17,4,19.05,7,8,-1,-14.29,33.33,47.06,-13.73
"BRASIL","BRASILIA",72,83,-11,-15.28,37,48,-11,-29.73,37,47,-10,-27.03,8,25,-17,-212.5,21.62,53.19,-31.57
"BRASIL","CACERES",87,80,7,8.05,35,59,-24,-68.57,34,57,-23,-67.65,16,33,-17,-106.25,47.06,57.89,-10.83
"BRASIL","CORUMBA",181,170,11,6.08,115,152,-37,-32.17,109,138,-29,-26.61,47,78,-31,-65.96,43.12,56.52,-13.4
"BRASIL","GUAJARA MIRIM",526,554,-28,-5.32,357,487,-130,-36.41,333,442,-109,-32.73,206,282,-76,-36.89,61.86,63.8,-1.94
"BRASIL","RIO DE JANEIRO",245,252,-7,-2.86,90,149,-59,-65.56,89,145,-56,-62.92,30,58,-28,-93.33,33.71,40,-6.29
"BRASIL","SAO PAULO",30232,35361,-5129,-16.97,6703,21714,-15011,-223.94,6312,20457,-14145,-224.1,4962,18104,-13142,-264.85,78.61,88.5,-9.89
"CANADÁ","OTTAWA",89,75,14,15.73,33,58,-25,-75.76,33,57,-24,-72.73,16,33,-17,-106.25,48.48,57.89,-9.41
"CHILE","ANTOFAGASTA",4281,3738,543,12.68,1858,2784,-926,-49.84,1591,2637,-1046,-65.74,666,1641,-975,-146.4,41.86,62.23,-20.37
"CHILE","ARICA",1749,1544,205,11.72,1037,1377,-340,-32.79,987,1312,-325,-32.93,790,1208,-418,-52.91,80.04,92.07,-12.03
"CHILE","CALAMA",4291,4719,-428,-9.97,1787,3813,-2026,-113.37,1671,3546,-1875,-112.21,854,2429,-1575,-184.43,51.11,68.5,-17.39
"CHILE","IQUIQUE",3401,3149,252,7.41,1567,2614,-1047,-66.82,1491,2414,-923,-61.9,631,1535,-904,-143.26,42.32,63.59,-21.27
"CHILE","SANTIAGO",1312,1232,80,6.1,462,811,-349,-75.54,411,788,-377,-91.73,121,453,-332,-274.38,29.44,57.49,-28.05
"CHINA","BEIJIN",50,42,8,16,19,33,-14,-73.68,19,32,-13,-68.42,9,25,-16,-177.78,47.37,78.12,-30.75
"COLOMBIA","BOGOTÁ",224,189,35,15.62,113,130,-17,-15.04,111,125,-14,-12.61,24,38,-14,-58.33,21.62,30.4,-8.78
"COSTA RICA","SAN JOSÉ",94,81,13,13.83,56,60,-4,-7.14,53,59,-6,-11.32,7,30,-23,-328.57,13.21,50.85,-37.64
"CUBA","LA HABANA",494,797,-303,-61.34,221,645,-424,-191.86,219,625,-406,-185.39,193,589,-396,-205.18,88.13,94.24,-6.11
"DINAMARCA","COPENHAGUE",31,28,3,9.68,24,26,-2,-8.33,24,26,-2,-8.33,4,5,-1,-25,16.67,19.23,-2.56
"ECUADOR","QUITO",155,120,35,22.58,84,89,-5,-5.95,84,81,3,3.57,42,43,-1,-2.38,50,53.09,-3.09
"EGIPTO","EL CAIRO",12,8,4,33.33,8,6,2,25,8,6,2,25,4,4,0,0,50,66.67,-16.67
"ESPAÑA","BARCELONA",20959,22556,-1597,-7.62,7766,12121,-4355,-56.08,6595,11575,-4980,-75.51,1326,5100,-3774,-284.62,20.11,44.06,-23.95
"ESPAÑA","BILBAO",6426,6358,68,1.06,2915,4951,-2036,-69.85,2861,4724,-1863,-65.12,497,1888,-1391,-279.88,17.37,39.97,-22.6
